Task,Domain,Agent Role,Proposed Action,Improved Action,Feedback Count,Seniority,Confidence,Top Influences,Iterations,Is Improvement
,Advocacy,Policy Analyst,,"Set strategic direction, approve plans, and allocate authority for: Develop statewide advocacy plan for Pennsylvania hospitals | Draft policy positions and stakeholder engagement strategy for: Develop statewide advocacy plan for Pennsylvania hospitals | Draft policy positions and stakeholder engagement strategy for: Develop statewide advocacy plan for Pennsylvania hospitals",9,,,"President and Chief Executive Officer, Senior Vice President of Advocacy and Policy, Vice President, Federal Advocacy",2,True
,Advocacy,"Manager, Advocacy Activation",,"Set strategic direction, approve plans, and allocate authority for: Develop statewide advocacy plan for Pennsylvania hospitals | Draft policy positions and stakeholder engagement strategy for: Develop statewide advocacy plan for Pennsylvania hospitals | Draft policy positions and stakeholder engagement strategy for: Develop statewide advocacy plan for Pennsylvania hospitals",9,,,"President and Chief Executive Officer, Senior Vice President of Advocacy and Policy, Vice President, Federal Advocacy",2,True
,Advocacy,Advocacy and Policy Coordinator,,"Set strategic direction, approve plans, and allocate authority for: Develop statewide advocacy plan for Pennsylvania hospitals | Draft policy positions and stakeholder engagement strategy for: Develop statewide advocacy plan for Pennsylvania hospitals | Draft policy positions and stakeholder engagement strategy for: Develop statewide advocacy plan for Pennsylvania hospitals",9,,,"President and Chief Executive Officer, Senior Vice President of Advocacy and Policy, Vice President, Federal Advocacy",2,True
,Executive,President and Chief Executive Officer,,Draft policy positions and stakeholder engagement strategy for: Develop statewide advocacy plan for Pennsylvania hospitals | Draft policy positions and stakeholder engagement strategy for: Develop statewide advocacy plan for Pennsylvania hospitals | Draft policy positions and stakeholder engagement strategy for: Develop statewide advocacy plan for Pennsylvania hospitals,9,,,"Senior Vice President of Advocacy and Policy, Vice President, Federal Advocacy, Vice President, State Advocacy",2,True
Prepare next fiscal year budget,Finance,Accounting Manager,Analyze budget impact and recommend fiscal adjustments for: Prepare next fiscal year budget,,0,3,0.65,,2,False
Prepare next fiscal year budget,Finance,Accountant,Analyze budget impact and recommend fiscal adjustments for: Prepare next fiscal year budget,,0,2,0.6,,2,False
Prepare next fiscal year budget,Finance,Accounts Payable Specialist,Analyze budget impact and recommend fiscal adjustments for: Prepare next fiscal year budget,,0,2,0.6,,2,False
Prepare next fiscal year budget,Finance,"Vice President, Finance & Legal Affairs",Analyze budget impact and recommend fiscal adjustments for: Prepare next fiscal year budget,,0,7,0.8500000000000001,,2,False
Prepare next fiscal year budget,Finance,"Director, Financial Reimbursement and Analysis",Analyze budget impact and recommend fiscal adjustments for: Prepare next fiscal year budget,,0,5,0.75,,2,False
Prepare next fiscal year budget,Finance,Senior Policy Analyst,Analyze budget impact and recommend fiscal adjustments for: Prepare next fiscal year budget,,0,4,0.7,,2,False
Prepare next fiscal year budget,Executive,President and Chief Executive Officer,"Set strategic direction, approve plans, and allocate authority for: Prepare next fiscal year budget",,0,10,1.0,,2,False
,Finance,Accounting Manager,,"Set strategic direction, approve plans, and allocate authority for: Prepare next fiscal year budget | Analyze budget impact and recommend fiscal adjustments for: Prepare next fiscal year budget | Analyze budget impact and recommend fiscal adjustments for: Prepare next fiscal year budget",6,,,"President and Chief Executive Officer, Vice President, Finance & Legal Affairs, Director, Financial Reimbursement and Analysis",2,True
,Finance,Accountant,,"Set strategic direction, approve plans, and allocate authority for: Prepare next fiscal year budget | Analyze budget impact and recommend fiscal adjustments for: Prepare next fiscal year budget | Analyze budget impact and recommend fiscal adjustments for: Prepare next fiscal year budget",6,,,"President and Chief Executive Officer, Vice President, Finance & Legal Affairs, Director, Financial Reimbursement and Analysis",2,True
,Finance,Accounts Payable Specialist,,"Set strategic direction, approve plans, and allocate authority for: Prepare next fiscal year budget | Analyze budget impact and recommend fiscal adjustments for: Prepare next fiscal year budget | Analyze budget impact and recommend fiscal adjustments for: Prepare next fiscal year budget",6,,,"President and Chief Executive Officer, Vice President, Finance & Legal Affairs, Director, Financial Reimbursement and Analysis",2,True
,Finance,"Vice President, Finance & Legal Affairs",,"Set strategic direction, approve plans, and allocate authority for: Prepare next fiscal year budget | Analyze budget impact and recommend fiscal adjustments for: Prepare next fiscal year budget | Analyze budget impact and recommend fiscal adjustments for: Prepare next fiscal year budget",6,,,"President and Chief Executive Officer, Director, Financial Reimbursement and Analysis, Senior Policy Analyst",2,True
,Finance,"Director, Financial Reimbursement and Analysis",,"Set strategic direction, approve plans, and allocate authority for: Prepare next fiscal year budget | Analyze budget impact and recommend fiscal adjustments for: Prepare next fiscal year budget | Analyze budget impact and recommend fiscal adjustments for: Prepare next fiscal year budget",6,,,"President and Chief Executive Officer, Vice President, Finance & Legal Affairs, Senior Policy Analyst",2,True
,Finance,Senior Policy Analyst,,"Set strategic direction, approve plans, and allocate authority for: Prepare next fiscal year budget | Analyze budget impact and recommend fiscal adjustments for: Prepare next fiscal year budget | Analyze budget impact and recommend fiscal adjustments for: Prepare next fiscal year budget",6,,,"President and Chief Executive Officer, Vice President, Finance & Legal Affairs, Director, Financial Reimbursement and Analysis",2,True
,Executive,President and Chief Executive Officer,,Analyze budget impact and recommend fiscal adjustments for: Prepare next fiscal year budget | Analyze budget impact and recommend fiscal adjustments for: Prepare next fiscal year budget | Analyze budget impact and recommend fiscal adjustments for: Prepare next fiscal year budget,6,,,"Vice President, Finance & Legal Affairs, Director, Financial Reimbursement and Analysis, Senior Policy Analyst",2,True
Upgrade IT infrastructure for remote workforce,IT,"Manager, Website Services",Assess technology requirements and implementation plan for: Upgrade IT infrastructure for remote workforce,,0,3,0.65,,2,False
Upgrade IT infrastructure for remote workforce,IT,"Director, Information & Technology and Services",Assess technology requirements and implementation plan for: Upgrade IT infrastructure for remote workforce,,0,5,0.75,,2,False
Upgrade IT infrastructure for remote workforce,IT,Senior Network Specialist,Assess technology requirements and implementation plan for: Upgrade IT infrastructure for remote workforce,,0,4,0.7,,2,False
Upgrade IT infrastructure for remote workforce,IT,IT Application Specialist,Assess technology requirements and implementation plan for: Upgrade IT infrastructure for remote workforce,,0,2,0.6,,2,False
Upgrade IT infrastructure for remote workforce,Executive,President and Chief Executive Officer,"Set strategic direction, approve plans, and allocate authority for: Upgrade IT infrastructure for remote workforce",,0,10,1.0,,2,False
,IT,"Manager, Website Services",,"Set strategic direction, approve plans, and allocate authority for: Upgrade IT infrastructure for remote workforce | Assess technology requirements and implementation plan for: Upgrade IT infrastructure for remote workforce | Assess technology requirements and implementation plan for: Upgrade IT infrastructure for remote workforce",4,,,"President and Chief Executive Officer, Director, Information & Technology and Services, Senior Network Specialist",2,True
,IT,"Director, Information & Technology and Services",,"Set strategic direction, approve plans, and allocate authority for: Upgrade IT infrastructure for remote workforce | Assess technology requirements and implementation plan for: Upgrade IT infrastructure for remote workforce | Assess technology requirements and implementation plan for: Upgrade IT infrastructure for remote workforce",4,,,"President and Chief Executive Officer, Senior Network Specialist, Manager, Website Services",2,True
,IT,Senior Network Specialist,,"Set strategic direction, approve plans, and allocate authority for: Upgrade IT infrastructure for remote workforce | Assess technology requirements and implementation plan for: Upgrade IT infrastructure for remote workforce | Assess technology requirements and implementation plan for: Upgrade IT infrastructure for remote workforce",4,,,"President and Chief Executive Officer, Director, Information & Technology and Services, Manager, Website Services",2,True
,IT,IT Application Specialist,,"Set strategic direction, approve plans, and allocate authority for: Upgrade IT infrastructure for remote workforce | Assess technology requirements and implementation plan for: Upgrade IT infrastructure for remote workforce | Assess technology requirements and implementation plan for: Upgrade IT infrastructure for remote workforce",4,,,"President and Chief Executive Officer, Director, Information & Technology and Services, Senior Network Specialist",2,True
,Executive,President and Chief Executive Officer,,Assess technology requirements and implementation plan for: Upgrade IT infrastructure for remote workforce | Assess technology requirements and implementation plan for: Upgrade IT infrastructure for remote workforce | Assess technology requirements and implementation plan for: Upgrade IT infrastructure for remote workforce,4,,,"Director, Information & Technology and Services, Senior Network Specialist, Manager, Website Services",2,True
Launch 340B awareness campaign,Communications,"Vice President, Strategic Communications",Plan internal/external communication strategy for: Launch 340B awareness campaign,,0,7,0.8500000000000001,,2,False
Launch 340B awareness campaign,Communications,"Director, Advocacy & Member Communications",Plan internal/external communication strategy for: Launch 340B awareness campaign,,0,5,0.75,,2,False
Launch 340B awareness campaign,Communications,"Producer, Digital Communications",Plan internal/external communication strategy for: Launch 340B awareness campaign,,0,3,0.65,,2,False
Launch 340B awareness campaign,Communications,"Manager, Media Relations",Plan internal/external communication strategy for: Launch 340B awareness campaign,,0,3,0.65,,2,False
Launch 340B awareness campaign,Executive,President and Chief Executive Officer,"Set strategic direction, approve plans, and allocate authority for: Launch 340B awareness campaign",,0,10,1.0,,2,False
,Communications,"Vice President, Strategic Communications",,"Set strategic direction, approve plans, and allocate authority for: Launch 340B awareness campaign | Plan internal/external communication strategy for: Launch 340B awareness campaign | Plan internal/external communication strategy for: Launch 340B awareness campaign",4,,,"President and Chief Executive Officer, Director, Advocacy & Member Communications, Producer, Digital Communications",2,True
,Communications,"Director, Advocacy & Member Communications",,"Set strategic direction, approve plans, and allocate authority for: Launch 340B awareness campaign | Plan internal/external communication strategy for: Launch 340B awareness campaign | Plan internal/external communication strategy for: Launch 340B awareness campaign",4,,,"President and Chief Executive Officer, Vice President, Strategic Communications, Producer, Digital Communications",2,True
,Communications,"Producer, Digital Communications",,"Set strategic direction, approve plans, and allocate authority for: Launch 340B awareness campaign | Plan internal/external communication strategy for: Launch 340B awareness campaign | Plan internal/external communication strategy for: Launch 340B awareness campaign",4,,,"President and Chief Executive Officer, Vice President, Strategic Communications, Director, Advocacy & Member Communications",2,True
,Communications,"Manager, Media Relations",,"Set strategic direction, approve plans, and allocate authority for: Launch 340B awareness campaign | Plan internal/external communication strategy for: Launch 340B awareness campaign | Plan internal/external communication strategy for: Launch 340B awareness campaign",4,,,"President and Chief Executive Officer, Vice President, Strategic Communications, Director, Advocacy & Member Communications",2,True
,Executive,President and Chief Executive Officer,,Plan internal/external communication strategy for: Launch 340B awareness campaign | Plan internal/external communication strategy for: Launch 340B awareness campaign | Plan internal/external communication strategy for: Launch 340B awareness campaign,4,,,"Vice President, Strategic Communications, Director, Advocacy & Member Communications, Producer, Digital Communications",2,True
